1,㈜정성레저,바다,인천광역시 중구 백운로186번길 140-1 (중산동),인천광역시 중구 중산동 1852,37.51420751,126.5436932,032-751-1515,28540,"돔, 점성어",250,없음,"70,000원(성인남성기준)",,구명부환+구명조끼+소화기+구급약품,화장실+매점,,032-760-8948,인천광역시 중구청,2020-09-10
2,포인트실내낚시카페낚시터,기타,"인천광역시 중구 우현로 63, 몽벨,대한애경미용학원,이용화이비인후과 (내동)","인천광역시 중구 내동 203-6 몽벨,대한애경미용학원,이용화이비인후과",37.4728317,126.6289879,032-762-3494,36.21,잉어+붕어,18,없음,"10,000(시간당/성인남성기준)",,구명부환+구명조끼+소화기+구급약품,화장실,,032-760-8948,인천광역시 중구청 농수산과,2020-09-10
3,(주)영종레저,바다,"인천광역시 중구 영종순환로 279-20, 만정낚시터 (중산동)",인천광역시 중구 중산동 1853 만정낚시터,37.5154665,126.5499277,032-747-1133,53945,돔+점성어+붕어,340,최대,"60,000원(성인남성기준)",,구명부환+구명조끼+소화기+구급약품,화장실,,032-760-8948,인천광역시 중구 농수산과,2020-09-10
4,짱실내바다낚시터,기타,"인천광역시 중구 서해대로417번길 2, 재향군인회관 (신흥동2가)",인천광역시 중구 신흥동2가 54-7 재향군인회관,37.46419602,126.6330236,070-7543-3213,89.9,돔+조피볼락+농어,30,없음,"60,000원(성인남성기준)",,구명부환+구명조끼+소화기+구급약품,화장실,,032-760-8948,인천광역시 중구청 농수산과,2020-09-10
5,대동실내낚시터,기타,"인천광역시 서구 심곡로 133, 대동아파트 지하1층 (심곡동)",인천광역시 서구 심곡동 285 대동아파트,,,032-5600-8904,40,붕어,20,없음,,,"구명부환, 소화기","휴게실, 화장실",,032-560-4452,인천광역시 서구청,2020-12-17
6,두밀촌 낚시터,평지,인천광역시 서구 두밀로 91 (대곡동),인천광역시 서구 대곡동 260,,,,2347,잉어,100,없음,"1일 25,000원",,"구명부환 2, 소화기",화장실,,032-560-4452,인천광역시 서구,2020-12-17
7,인천 락 실내바다낚시터,기타,인천광역시 서구 한서로 36-10 (백석동),인천광역시 서구 백석동 212-70,,,032-563-7949,373,활바다가재,40,없음,"2시간 33,000원 4시간 44,000원 10시간 77,000원",,"구명부환, 구명줄, 소화기 6개","화장실, 세면대",,032-560-4452,인천광역시 서구청,2020-12-17
8,놀이터 실내낚시터,기타,"인천광역시 서구 가정로 208, 지하 1층 (석남동)",인천광역시 서구 석남동 540-15,,,,61.8,"메기, 향어",30,없음,"1시간 남 11,000원          여 10,000원  10분 초과시 요금 부과",,"구명부환, 소화기","휴식공간 화장실, 흡연실",,032-560-4452,인천광역시 서구,2020-12-17
9,가현산낚시터,평지,인천광역시 서구 가현산로23번길 87 (마전동),인천광역시 서구 마전동 3,,,032-563-4637,3300,잉어 메기,63,없음,"1일 25,000원",,"구명부환 2, 소화기 4, 구명줄 2","세면대, 화장실",,032-560-4452,인천광역시 서구,2020-12-17
10,낭만물고기,기타,"인천광역시 서구 검단로 492, 지하 1층 (마전동)",인천광역시 서구 마전동 979-4,,,050-7140-5125,30,"메기, 잉어, 향어",20,실내,"대인1시간 10,000원 여성 1시간 9,000원",,"구명부환2, 구명동의 2, 소화기 1",세면대,,032-560-4452,인천광역시 서구청,2020-12-17
11,내동저수지낚시터,저수지,인천광역시 옹진군 영흥면 내동로 100-15,인천광역시 옹진군 영흥면 내리 496-52,,,032-884-8282,7668,"붕어, 잉어, 메기, 가물치 등",78,방가로,"24시간 30,000원",민물 저수지 낚시터,"구명환, 구명조끼, 구급약","방가로, 공동취사장, 공동수면실, 화장실, 샤워실, 매점",,032-899-2733,옹진군,2020-12-14
12,용담낚시터,기타,"인천광역시 옹진군 영흥면 영흥남로9번길 309, 용담어촌계축양장",인천광역시 옹진군 영흥면 외리 21-6 용담어촌계축양장,,,032-886-8969,27000,"돔류, 병어,  다금바리, 민어 등",200,없음,"12시간 60,000원",해수낚시터,"구명환, 소화기, 구급약품","방갈로, 화장실, 매점",,032-899-2733,옹진군,2020-12-14
13,선재낚시터,기타,"인천광역시 옹진군 영흥면 선재로265번길 103, 선재고물상",인천광역시 옹진군 영흥면 선재리 산 24-2 선재고물상,,,,19000,"돔류, 농어, 우럭, 홍민어 등",200,수상 방가로,"12시간 77,000원 2시간 45,000원 방가로 이용 40,000원",해수낚시터,"구명환, 구명줄, 구급약품","매점, 방가로, 휴게실, 주차장",,032-899-2733,옹진군,2020-12-14
14,영흥바다낚시터,기타,"인천광역시 옹진군 영흥면 영흥로176번길 21, 낚시터",인천광역시 옹진군 영흥면 내리 38-4 낚시터,,,032-882-7780,32500,"농어, 능성어, 우럭, 돔류 등",200,없음,"20시간 남성 77,000원 20시간 여성 55,000원 20시간 초등학생 55,000원",해수낚시터,"구명환, 구명줄, 소화기, 구급약","화장실, 매점, 주차장, 방가로",,032-899-2733,옹진군,2020-12-14
15,선재 낚시공원 낚시터,기타,인천광역시 옹진군 영흥면 선재로226번길 164,인천광역시 옹진군 영흥면 선재리 521-34,,,032-710-4340,19027,"돔류, 바리류, 민어, 병어, 농어",218,없음,"12시간 남성 100,000원 12시간 여성 80,000원 12시간 초중생 70,000원",해수낚시터,"구명환, 소화기, 구급약품","식당, 매점, 펜션, 카페,주차장",,032-899-2733,옹진군,2020-12-14
